Breakdown,Date,Average Session Time
Total,2025-06-12T00:00:00.000Z,6.146860599517822
Total,2025-06-13T00:00:00.000Z,6.297601699829102
Total,2025-06-14T00:00:00.000Z,5.837278366088867
Total,2025-06-15T00:00:00.000Z,5.844844818115234
Total,2025-06-16T00:00:00.000Z,7.510462284088135
Total,2025-06-17T00:00:00.000Z,6.892302513122559
Total,2025-06-18T00:00:00.000Z,6.097349166870117
Total,2025-06-19T00:00:00.000Z,6.302659034729004
Total,2025-06-20T00:00:00.000Z,6.269298076629639
Total,2025-06-21T00:00:00.000Z,6.231005668640137
Total,2025-06-22T00:00:00.000Z,7.56123685836792
Total,2025-06-23T00:00:00.000Z,7.148519515991211
Total,2025-06-24T00:00:00.000Z,6.3106913566589355
Total,2025-06-25T00:00:00.000Z,5.641634464263916
Total,2025-06-26T00:00:00.000Z,7.557888507843018
Total,2025-06-27T00:00:00.000Z,7.3151140213012695
Total,2025-06-28T00:00:00.000Z,6.197031497955322
Total,2025-06-29T00:00:00.000Z,6.711361408233643
Total,2025-06-30T00:00:00.000Z,7.567549228668213
Total,2025-07-01T00:00:00.000Z,7.774129390716553
Total,2025-07-02T00:00:00.000Z,8.710577011108398
Total,2025-07-03T00:00:00.000Z,7.75367546081543
Total,2025-07-04T00:00:00.000Z,8.57078742980957
Total,2025-07-05T00:00:00.000Z,7.890049457550049
Total,2025-07-06T00:00:00.000Z,8.48884391784668
Total,2025-07-07T00:00:00.000Z,9.997283935546875
Total,2025-07-08T00:00:00.000Z,8.971120834350586
Total,2025-07-09T00:00:00.000Z,8.838688850402832