Breakdown,Date,Daily Active Users
Total,2025-06-12T00:00:00.000Z,753
Total,2025-06-13T00:00:00.000Z,803
Total,2025-06-14T00:00:00.000Z,656
Total,2025-06-15T00:00:00.000Z,446
Total,2025-06-16T00:00:00.000Z,422
Total,2025-06-17T00:00:00.000Z,398
Total,2025-06-18T00:00:00.000Z,390
Total,2025-06-19T00:00:00.000Z,419
Total,2025-06-20T00:00:00.000Z,409
Total,2025-06-21T00:00:00.000Z,493
Total,2025-06-22T00:00:00.000Z,376
Total,2025-06-23T00:00:00.000Z,376
Total,2025-06-24T00:00:00.000Z,442
Total,2025-06-25T00:00:00.000Z,422
Total,2025-06-26T00:00:00.000Z,448
Total,2025-06-27T00:00:00.000Z,472
Total,2025-06-28T00:00:00.000Z,444
Total,2025-06-29T00:00:00.000Z,526
Total,2025-06-30T00:00:00.000Z,660
Total,2025-07-01T00:00:00.000Z,609
Total,2025-07-02T00:00:00.000Z,927
Total,2025-07-03T00:00:00.000Z,736
Total,2025-07-04T00:00:00.000Z,909
Total,2025-07-05T00:00:00.000Z,1488
Total,2025-07-06T00:00:00.000Z,3756
Total,2025-07-07T00:00:00.000Z,2305
Total,2025-07-08T00:00:00.000Z,2473
Total,2025-07-09T00:00:00.000Z,1953
"Benchmark (Top 10,000 experience)",2025-06-12T00:00:00.000Z,4243
"Benchmark (Top 10,000 experience)",2025-06-13T00:00:00.000Z,4571
"Benchmark (Top 10,000 experience)",2025-06-14T00:00:00.000Z,5199
"Benchmark (Top 10,000 experience)",2025-06-15T00:00:00.000Z,5155
"Benchmark (Top 10,000 experience)",2025-06-16T00:00:00.000Z,4476
"Benchmark (Top 10,000 experience)",2025-06-17T00:00:00.000Z,4442
"Benchmark (Top 10,000 experience)",2025-06-18T00:00:00.000Z,4605
"Benchmark (Top 10,000 experience)",2025-06-19T00:00:00.000Z,4891
"Benchmark (Top 10,000 experience)",2025-06-20T00:00:00.000Z,5112
"Benchmark (Top 10,000 experience)",2025-06-21T00:00:00.000Z,5618
"Benchmark (Top 10,000 experience)",2025-06-22T00:00:00.000Z,5612
"Benchmark (Top 10,000 experience)",2025-06-23T00:00:00.000Z,5030
"Benchmark (Top 10,000 experience)",2025-06-24T00:00:00.000Z,4917
"Benchmark (Top 10,000 experience)",2025-06-25T00:00:00.000Z,5123
"Benchmark (Top 10,000 experience)",2025-06-26T00:00:00.000Z,5111
"Benchmark (Top 10,000 experience)",2025-06-27T00:00:00.000Z,5795
"Benchmark (Top 10,000 experience)",2025-06-28T00:00:00.000Z,6477
"Benchmark (Top 10,000 experience)",2025-06-29T00:00:00.000Z,6683
"Benchmark (Top 10,000 experience)",2025-06-30T00:00:00.000Z,5874
"Benchmark (Top 10,000 experience)",2025-07-01T00:00:00.000Z,5475
"Benchmark (Top 10,000 experience)",2025-07-02T00:00:00.000Z,5513
"Benchmark (Top 10,000 experience)",2025-07-03T00:00:00.000Z,5218
"Benchmark (Top 10,000 experience)",2025-07-04T00:00:00.000Z,5333
"Benchmark (Top 10,000 experience)",2025-07-05T00:00:00.000Z,5609
"Benchmark (Top 10,000 experience)",2025-07-06T00:00:00.000Z,6339
"Benchmark (Top 10,000 experience)",2025-07-07T00:00:00.000Z,5600
"Benchmark (Top 10,000 experience)",2025-07-08T00:00:00.000Z,5717
"Benchmark (Top 10,000 experience)",2025-07-09T00:00:00.000Z,5864