Breakdown,Date,Day 1 Stickiness
Total,2025-06-12T00:00:00.000Z,0.0452127642929554
Total,2025-06-13T00:00:00.000Z,0.029216468334197998
Total,2025-06-14T00:00:00.000Z,0.026151930913329124
Total,2025-06-15T00:00:00.000Z,0.01676829345524311
Total,2025-06-16T00:00:00.000Z,0.029147982597351074
Total,2025-06-17T00:00:00.000Z,0.035545025020837784
Total,2025-06-18T00:00:00.000Z,0.02010050229728222
Total,2025-06-19T00:00:00.000Z,0.023076923564076424
Total,2025-06-20T00:00:00.000Z,0.014319809153676033
Total,2025-06-21T00:00:00.000Z,0.04400977864861488
Total,2025-06-22T00:00:00.000Z,0.016227180138230324
Total,2025-06-23T00:00:00.000Z,0.042553190141916275
Total,2025-06-24T00:00:00.000Z,0.0452127642929554
Total,2025-06-25T00:00:00.000Z,0.022624434903264046
Total,2025-06-26T00:00:00.000Z,0.02369668334722519
Total,2025-06-27T00:00:00.000Z,0.013392857275903225
Total,2025-06-28T00:00:00.000Z,0.025423727929592133
Total,2025-06-29T00:00:00.000Z,0.02477477490901947
Total,2025-06-30T00:00:00.000Z,0.028517110273241997
Total,2025-07-01T00:00:00.000Z,0.03181818127632141
Total,2025-07-02T00:00:00.000Z,0.027914613485336304
Total,2025-07-03T00:00:00.000Z,0.026968715712428093
Total,2025-07-04T00:00:00.000Z,0.03396739065647125
Total,2025-07-05T00:00:00.000Z,0.03850385174155235
Total,2025-07-06T00:00:00.000Z,0.026209676638245583
Total,2025-07-07T00:00:00.000Z,0.027422789484262466
Total,2025-07-08T00:00:00.000Z,0.03297179937362671
Total,2025-07-09T00:00:00.000Z,0.025070764124393463