Breakdown,Date,Monthly Active Users
Total,2025-06-12T00:00:00.000Z,18043
Total,2025-06-13T00:00:00.000Z,18237
Total,2025-06-14T00:00:00.000Z,18174
Total,2025-06-15T00:00:00.000Z,17983
Total,2025-06-16T00:00:00.000Z,17993
Total,2025-06-17T00:00:00.000Z,17897
Total,2025-06-18T00:00:00.000Z,17843
Total,2025-06-19T00:00:00.000Z,17696
Total,2025-06-20T00:00:00.000Z,17437
Total,2025-06-21T00:00:00.000Z,17269
Total,2025-06-22T00:00:00.000Z,17006
Total,2025-06-23T00:00:00.000Z,16629
Total,2025-06-24T00:00:00.000Z,16429
Total,2025-06-25T00:00:00.000Z,16216
Total,2025-06-26T00:00:00.000Z,16027
Total,2025-06-27T00:00:00.000Z,15770
Total,2025-06-28T00:00:00.000Z,15561
Total,2025-06-29T00:00:00.000Z,15567
Total,2025-06-30T00:00:00.000Z,15399
Total,2025-07-01T00:00:00.000Z,15341
Total,2025-07-02T00:00:00.000Z,15719
Total,2025-07-03T00:00:00.000Z,15862
Total,2025-07-04T00:00:00.000Z,15990
Total,2025-07-05T00:00:00.000Z,16842
Total,2025-07-06T00:00:00.000Z,19793
Total,2025-07-07T00:00:00.000Z,21368
Total,2025-07-08T00:00:00.000Z,23146
Total,2025-07-09T00:00:00.000Z,24516
"Benchmark (Top 10,000 experience)",2025-06-12T00:00:00.000Z,104406
"Benchmark (Top 10,000 experience)",2025-06-13T00:00:00.000Z,105314
"Benchmark (Top 10,000 experience)",2025-06-14T00:00:00.000Z,107533
"Benchmark (Top 10,000 experience)",2025-06-15T00:00:00.000Z,108968
"Benchmark (Top 10,000 experience)",2025-06-16T00:00:00.000Z,108360
"Benchmark (Top 10,000 experience)",2025-06-17T00:00:00.000Z,107747
"Benchmark (Top 10,000 experience)",2025-06-18T00:00:00.000Z,109063
"Benchmark (Top 10,000 experience)",2025-06-19T00:00:00.000Z,109938
"Benchmark (Top 10,000 experience)",2025-06-20T00:00:00.000Z,111527
"Benchmark (Top 10,000 experience)",2025-06-21T00:00:00.000Z,113458
"Benchmark (Top 10,000 experience)",2025-06-22T00:00:00.000Z,114296
"Benchmark (Top 10,000 experience)",2025-06-23T00:00:00.000Z,113803
"Benchmark (Top 10,000 experience)",2025-06-24T00:00:00.000Z,114292
"Benchmark (Top 10,000 experience)",2025-06-25T00:00:00.000Z,115003
"Benchmark (Top 10,000 experience)",2025-06-26T00:00:00.000Z,115601
"Benchmark (Top 10,000 experience)",2025-06-27T00:00:00.000Z,117647
"Benchmark (Top 10,000 experience)",2025-06-28T00:00:00.000Z,119599
"Benchmark (Top 10,000 experience)",2025-06-29T00:00:00.000Z,121518
"Benchmark (Top 10,000 experience)",2025-06-30T00:00:00.000Z,121900
"Benchmark (Top 10,000 experience)",2025-07-01T00:00:00.000Z,122167
"Benchmark (Top 10,000 experience)",2025-07-02T00:00:00.000Z,122652
"Benchmark (Top 10,000 experience)",2025-07-03T00:00:00.000Z,123736
"Benchmark (Top 10,000 experience)",2025-07-04T00:00:00.000Z,125486
"Benchmark (Top 10,000 experience)",2025-07-05T00:00:00.000Z,126032
"Benchmark (Top 10,000 experience)",2025-07-06T00:00:00.000Z,127400
"Benchmark (Top 10,000 experience)",2025-07-07T00:00:00.000Z,127452
"Benchmark (Top 10,000 experience)",2025-07-08T00:00:00.000Z,127811
"Benchmark (Top 10,000 experience)",2025-07-09T00:00:00.000Z,129362